plot,tag,jday,year,spp,dend.num,ref.dend,ref.dbh,prev.dend,dend,dbh,hole,status,Need New Band?,notes,ref.notes
C3,411,228,2023,rm,2,30.02,28.1,69.92,71.25,,Inner,Alive,No,inner 19.71,
C3,412,228,2023,rm,3,12.63,21.9,27.19,29.67,,Inner,Alive,No,,
C3,413,228,2023,rm,1,76.86,24.3,96.89,98.68,,Inner,Alive,Yes,,
C3,414,228,2023,yb,2,32.96,15.6,49.54,50.99,,Inner,Alive,No,,
C3,415,228,2023,rm,2,37.95,28.2,76.33,79.23,,Inner,Alive,No,,
C3,416,228,2023,rm,3,38.77,32.9,77.84,82.03,,Inner,Alive,No,,
C3,417,228,2023,rm,1,19.87,17.9,25.14,25.57,,Inner,Alive,No,,
C3,418,228,2023,ash,2,38.17,29.8,63.76,66.64,,Inner,Alive,No,,
C3,419,228,2023,yb,1,43.75,14.9,55.25,56.68,,Inner,Alive,No,,
C3,421,228,2023,ash,3,38.42,42.8,74.5,77.77,,Inner,Alive,No,,
C3,423,228,2023,rm,1,34.82,24.7,41.85,41.9,,Inner,Alive,No,,
C3,425,228,2023,ash,3,19.42,20.9,26.42,28.36,,Inner,Alive,No,,
C3,426,228,2023,ash,1,29.05,20.5,34.49,32.95,,Inner,Dead,No,,
C3,729,228,2023,yb,2,62.83,21.0,99.99,102.53,,Inner,Alive,No,inner 8.54,
C4,456,228,2023,rm,1,45.52,18.4,50.53,50.37,,Inner,Alive,No,,
C4,459,228,2023,ro,2,54.86,41.8,97.87,98.93,,Inner,Alive,Yes,,
C4,462,228,2023,bo,4,58.63,44.2,NA,na,,Inner,Alive,No,,too /ig 
C4,462,228,2023,bo,5,,,16.45,22.54,46.8,Inner,Alive,No,,new band added
C4,465,228,2023,rm,1,65.00,17.3,84.71,85.79,,Inner,Alive,No,,
C4,466,228,2023,ro,1,72.57,27.5,87.28,87.61,,Inner,Alive,No,,
C4,469,228,2023,ro,2,36.21,41.0,69,70.2,,Inner,Alive,No,,
C4,474,228,2023,ro,4,12.12,50.6,44.89,52.43,,Inner,Alive,No,,
C4,484,228,2023,beech,2,31.57,13.3,68.96,69.1,25.95 inner,Inner,Stressed,Yes,13.36 new,snapped
C4,485,228,2023,beech,2,45.05,30.4,77.88,78.66,,Inner,Alive,No,,
C4,487,228,2023,rm,1,53.69,23.8,62.28,62.31,,Inner,Alive,No,,
C4,491,228,2023,rm,2,28.88,30.5,48.67,51.65,,Inner,Alive,No,,
C4,494,228,2023,rm,2,64.56,28.7,87.28,89.38,,Inner,Alive,No,,
C4,498,228,2023,rm,1,26.46,20.1,26.7,26.51,,Inner,Stressed,No,,broken top
C4,570,228,2023,beech,2,11.60,11.5,,31.82,,Inner,Stressed,No,,snapped
C5,260,228,2023,beech,4,15.43,14.5,,20.5,,Inner,Stressed,No,,Bbd bld
C5,290,228,2023,beech,3,80.48,15.6,80.16,82.61,,Inner,Alive,No,,
C5,501,228,2023,bo,3,52.94,37.8,,Na,,No Measurement,Alive,No,,small band: 24.80
C5,501,228,2023,bo,4,,,31.26,35.55,40.1,Inner,Alive,No,,
C5,503,228,2023,gb,2,17.89,18.4,21.91,22.08,,Inner,Alive,No,,
C5,504,228,2023,ro,2,36.50,17.3,52.04,53.38,,Inner,Alive,No,,
C5,505,228,2023,rm,2,78.35,23.2,109.96,111.69,25,Inner,Alive,Yes,new 28.06,need new band
C5,509,228,2023,rm,2,17.09,16.8,32.81,34.83,,Inner,Alive,No,,
C5,512,228,2023,rm,2,61.47,15.7,66.57,66.64,,Inner,Alive,No,,
C5,513,228,2023,ro,3,54.25,30.0,88.72,90.69,,Inner,Alive,Yes,,
C5,514,228,2023,rm,3,9.58,15.9,26.86,27.7,,Outer,Alive,No,Inner 20.95,
C5,515,228,2023,ro,2,62.90,25.7,114.34,117.38,,Inner,Alive,No,,
C5,515,228,2023,ro,3,,,14.93,17.18,27.4,Inner,Alive,No,,new band added
C5,518,228,2023,yb,2,30.31,12.6,43.62,44.16,,Inner,Dead,No,,dead
C5,519,228,2023,ro,3,60.97,38.4,110.67,115.49,,Inner,Alive,No,,
C5,519,228,2023,ro,4,,,15.92,20.36,39.8,Inner,Alive,No,,new band added
C5,724,228,2023,beech,4,12.62,16.9,40.81,48.4,,Inner,Stressed,No,,bld
C5,733,228,2023,rm,2,73.23,14.70,,na,,No Measurement,Alive,No,,
C5,733,228,2023,rm,3,15.43,14.70,19.94,22.02,,Inner,Alive,No,,
C5,831,228,2023,beech,3,22.24,13.7,43.31,47.5,,Inner,Alive,No,,
C5,831,228,2023,beech,4,,,18.18,19.32,14.7,Inner,Alive,No,,new band added
C5,888,228,2023,rm,1,7.48,13.7,7.84,7.6,,Inner,Alive,No,,
C5,800,228,2023,beech,1,12.72,10.0,27.26,33.1,,Inner,Alive,No,,
D1,266,228,2023,wp,4,37.86,47.1,61.61,63.42,,Inner,Stressed,No,,bld
D1,524,228,2023,rm,1,10.47,10.3,18.67,18.75,,Inner,Alive,No,,
D1,526,228,2023,rm,1,61.89,20.5,88.39,92.69,,Inner,Alive,No,,
D1,527,228,2023,rm,2,57.87,13.9,68.21,68.26,,Inner,Alive,No,,
D1,527,228,2023,rm,3,,,6.45,6.72,13.7,Inner,Alive,No,,
D1,529,228,2023,rm,2,15.82,25.5,42.53,44.56,,Inner,Alive,No,,
D1,530,228,2023,bo,2,27.20,29.9,53.52,54.49,,Inner,Alive,No,,
D1,531,228,2023,bo,2,57.28,35.3,96.65,98.75,36.7,Inner,Alive,Yes,new 12.36,need new band 36.7 dbh 
D1,532,228,2023,ro,4,62.19,43.2,,,,No Measurement,Alive,No,,unmeasurable
D1,532,228,2023,ro,5,,,17.89,22.02,45.2,Inner,Alive,No,,new band added
D1,537,228,2023,rm,2,31.34,14.7,61.08,63.06,,Outer,Alive,No,inner 22.66,
D1,538,228,2023,ro,3,32.68,54.2,77.79,82.13,,Inner,Alive,No,,
D1,540,228,2023,rm,2,32.92,12.6,39.18,40.21,,Inner,Alive,No,,
D1,541,228,2023,rm,1,35.92,12.5,,46.29,,No Measurement,Dead,No,,dead - snapped
D1,544,228,2023,ro,2,61.88,35.2,111.12,114.77,36.8,Inner,Alive,Yes,new 15.04,need new band 36.8DBH
D1,545,228,2023,rm,2,70.02,15.90,,78.41,,No Measurement,Alive,No,,too big to measure - move to just band 3
D1,545,228,2023,rm,3,14.81,15.90,19.71,22.18,,Inner,Alive,No,,
D1,546,228,2023,ro,3,19.92,52.8,59.31,63.03,,Inner,Alive,No,,
D1,549,228,2023,rm,1,57.18,13.0,70.34,71.82,,Inner,Alive,No,,
D1,549,228,2023,rm,2,,,14.33,14.88,13.4,Inner,Alive,No,,new band added
D1,551,228,2023,wp,1,71.52,22.2,75.42,76.13,probably dead,Inner,Dead,No,,
D1,552,228,2023,rm,1,50.12,12.9,60.67,62.42,,Inner,Alive,No,,
D1,832,228,2023,hem,4,23.34,16.20,40.01,44.91,,Inner,Alive,No,,
D2,288,228,2023,hem,5,16.98,24.0,59,60.69,,Inner,Alive,No,,
D2,576,228,2023,rm,1,63.23,18.9,67.6,68.51,,Inner,Alive,No,,
D2,579,228,2023,yb,1,52.41,12.1,62.86,63.43,,Inner,Alive,No,New band 12.79,
D2,580,228,2023,rm,2,15.30,30.2,33.07,33.86,,Inner,Alive,No,,
D2,582,228,2023,rm,1,40.21,16.8,44.54,44.62,,Inner,Alive,No,,
D2,583,228,2023,rm,1,59.74,21.9,70.3,71.11,,Inner,Alive,No,,
D2,587,228,2023,ro,6,37.33,50.5,84.3,93.66,,Inner,Alive,No,,
D2,588,228,2023,ro,4,63.32,43.6,113.3,,44.5,Inner,Alive,No,New band 15.36,need new band 44.5dbh
D2,590,228,2023,rm,1,28.66,27.6,29.34,29.25,,Inner,Alive,No,,
D2,592,228,2023,rm,1,38.27,15.1,41.99,42.03,,Inner,Alive,No,,
D2,594,228,2023,cherry,1,65.30,29.1,73.02,73.85,,Inner,Alive,No,,
D3,265,228,2023,beech,5,24.36,16.3,56.03,62.19,,Outer,Alive,No,Beech leaf inner 29.42,
D3,584,228,2023,beech,1,13.57,10.2,33.47,34.98,,Inner,Alive,No,,
D3,604,228,2023,rm,2,13.93,28.2,54.34,47.45,,Inner,Alive,No,47.45 outer is def. inner 23.54,
D3,605,228,2023,rm,2,7.44,34.4,23.49,24.48,,Inner,Alive,No,,
D3,606,228,2023,rm,4,25.81,59.1,63.7,73.33,,Inner,Alive,No,,
D3,608,228,2023,rm,2,31.73,35.2,55.32,57.15,,Inner,Alive,No,,new: 22.42
D3,608,228,2023,rm,3,,,22.42,24.65,,Inner,Alive,No,,
D3,609,228,2023,rm,2,32.44,33.9,73.81,76.77,,Inner,Alive,No,,
D3,611,228,2023,rm,2,61.10,21.9,80.87,81.72,,Inner,Alive,Yes,,
D3,612,228,2023,rm,1,49.29,22.3,51.04,51.86,,Inner,Alive,No,,
D3,613,228,2023,ro,6,13.69,75.9,115.23,124.89,,Inner,Alive,Yes,,
D3,615,228,2023,ro,3,53.96,24.1,94.24,96.27,,Inner,Alive,No,,
D3,618,228,2023,rm,2,26.04,29.9,44.97,46.38,,Outer,Alive,No,21.30 inner,
D3,619,228,2023,rm,1,57.75,14.5,68.63,68.91,,Inner,Alive,No,,
D4,262,228,2023,rm,4,30.13,16.0,71.67,79.69,,Outer,Alive,No,27.88 inner,
D4,626,228,2023,rm,2,16.01,27.14,44.96,46.68,,Outer,Alive,No,31.62 inner,
D4,627,228,2023,cherry,1,71.55,38.4,90.46,93.09,,Inner,Alive,Yes,,
D4,628,228,2023,cherry,1,43.92,26.7,50.2,51.16,,Inner,Alive,No,,
D4,631,228,2023,ash,3,16.85,41.70,27.79,29.79,,Inner,Alive,No,,
D4,633,228,2023,rm,7,33.48,27.3,110.2,125.52,,Outer,Alive,Yes,Inner 54.93,inner 39.12
D4,637,228,2023,ash,2,15.42,42.4,24.76,29.19,,Inner,Alive,No,,
D4,638,228,2023,ash,3,17.97,41.3,32.49,35.21,,Inner,Alive,No,,
D4,639,228,2023,bo,5,25.38,34.7,92.56,106.24,,Inner,Alive,Yes,,
D4,640,228,2023,rm,3,38.88,30.7,113.22,120.42,,Inner,Alive,No,,
D4,640,228,2023,rm,4,,,17.9,25.5,33,Inner,Alive,No,,new band added
D4,643,228,2023,cherry,2,15.91,45.1,36.8,39.86,,Inner,Alive,No,,
D4,708,228,2023,rm,1,7.68,10.0,46.69,50.82,,Inner,Alive,No,,
D4,732,228,2023,rm,3,36.09,16.2,62.16,64.27,,Inner,Alive,No,,
D4,803,228,2023,rm,1,9.15,10.2,5.56,6.67,,Inner,Dead,No,,dead
D4,804,228,2023,rm,1,32.17,10.8,67.85,70.94,,Inner,Alive,No,removed,
D4,804,228,2023,rm,2,,,16.73,19.52,12,Inner,Alive,No,,new band added
D4,834,228,2023,beech,4,15.83,16.7,54.06,69.46,,Inner,Alive,No,,
D5,208,228,2023,beech,3,14.24,14.4,59.36,60.94,,Inner,Alive,No,,
D5,261,228,2023,hem,2,28.08,13.5,33.74,34.22,,Inner,Alive,No,,
D5,652,228,2023,rm,1,87.34,32.8,92.95,93.44,,Inner,Alive,Yes,,
D5,654,228,2023,ro,2,21.44,17.3,51.76,59.65,,Outer,Alive,No,inner 33.23,
D5,658,228,2023,rm,2,30.80,30.4,63.16,65.23,,Inner,Alive,No,,
D5,664,228,2023,bo,1,39.81,13.5,47.28,47.95,,Inner,Alive,No,,
D5,665,228,2023,rm,1,30.11,18.8,32.89,33.06,,Inner,Alive,No,,
D5,667,228,2023,rm,2,26.97,18.2,46.66,47.59,,Inner,Alive,No,,
D5,669,228,2023,rm,1,53.65,12.1,64.34,64.21,,Inner,Dead,No,,dead - snapped
D5,670,228,2023,wb,1,77.49,35.9,96.52,97.59,,Inner,Alive,Yes,,
D5,671,228,2023,rm,1,45.60,23.3,51.64,51.96,,Inner,Alive,No,,
D5,707,228,2023,hem,1,16.32,10.4,80.86,,13.5,Inner,Alive,No,New band 13.03,need new band 
D5,835,228,2023,hem,3,20.13,14.0,,,,Inner,Alive,No,,too big
D5,835,228,2023,hem,4,,,20.69,27.75,16.8,Inner,Alive,No,,new band added
D5,890,228,2023,hem,2,14.41,12.9,24.93,26.78,,Inner,Alive,No,,
E1,209,228,2023,hem,2,69.19,14.20,,75.6,,Inner,Stressed,No,,Broken top
E1,209,228,2023,hem,3,13.32,14.20,17.13,17.41,,Inner,Stressed,No,,
E1,676,228,2023,ro,2,9.91,50.7,36.7,38.83,,Outer,Alive,No,,
E1,677,228,2023,hem,3,53.24,30.8,82.08,84.11,,Inner,Alive,No,,
E1,678,228,2023,hem,2,8.91,17.8,38.43,44.53,,Inner,Alive,No,,
E1,679,228,2023,rm,2,43.09,47.3,77.03,82.01,,Inner,Alive,No,,
E1,680,228,2023,yb,1,37.94,17.6,40.84,39.83,,Inner,Dead,No,,Top broken off
E1,683,228,2023,rm,2,74.48,39.3,106.32,108.02,,Inner,Alive,No,,
E1,683,228,2023,rm,3,19.25,,18.71,18.28,40.60,Inner,Alive,No,,new band added (18.71 new reference)
E1,684,228,2023,yb,2,24.65,32.2,44.5,44.46,,Inner,Alive,No,,
E1,727,228,2023,yb,2,16.83,13.1,26.93,26.97,,Inner,Alive,No,,
E1,806,228,2023,hem,1,28.13,11.0,76.23,80.17,,Inner,Alive,No,,
